invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_5,total,date,time,payment,cogs,gross_margin_percentage,gross_income,rating
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78,9,9.0,9.0,2019-01-28,2024-01-26 12:00:00,Cash,9.0,9.0,9.0,9.0
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83,8,8.0,8.0,2019-01-10,2024-01-26 14:00:00,Cash,8.0,8.0,8.0,8.0
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96,2,2.0,2.0,2019-03-15,2024-01-26 10:00:00,Credit card,2.0,2.0,2.0,2.0
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99,4,4.0,4.0,2019-02-06,2024-01-26 10:00:00,Ewallet,4.0,4.0,4.0,4.0
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68,1,1.0,1.0,2019-01-07,2024-01-26 12:00:00,Ewallet,1.0,1.0,1.0,1.0
129-29-8530,A,Yangon,Member,Male,Sports and travel,62,5,5.0,5.0,2019-03-10,2024-01-26 19:00:00,Ewallet,5.0,5.0,5.0,5.0
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60,9,9.0,9.0,2019-01-15,2024-01-26 17:00:00,Ewallet,9.0,9.0,9.0,9.0
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54,8,8.0,8.0,2019-03-23,2024-01-26 13:00:00,Ewallet,8.0,8.0,8.0,8.0
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30,8,8.0,8.0,2019-03-03,2024-01-26 13:00:00,Cash,8.0,8.0,8.0,8.0
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86,1,1.0,1.0,2019-01-17,2024-01-26 18:00:00,Ewallet,1.0,1.0,1.0,1.0
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56,2,2.0,2.0,2019-02-02,2024-01-26 10:00:00,Cash,2.0,2.0,2.0,2.0
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69,6,6.0,6.0,2019-02-08,2024-01-26 13:00:00,Cash,6.0,6.0,6.0,6.0
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98,8,8.0,8.0,2019-03-04,2024-01-26 20:00:00,Cash,8.0,8.0,8.0,8.0
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15,2,2.0,2.0,2019-03-16,2024-01-26 19:00:00,Cash,2.0,2.0,2.0,2.0
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93,4,4.0,4.0,2019-03-09,2024-01-26 18:00:00,Cash,4.0,4.0,4.0,4.0
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56,9,9.0,9.0,2019-02-27,2024-01-26 17:00:00,Credit card,9.0,9.0,9.0,9.0
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20,9,9.0,9.0,2019-02-06,2024-01-26 15:00:00,Ewallet,9.0,9.0,9.0,9.0
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18,6,6.0,6.0,2019-02-10,2024-01-26 12:00:00,Credit card,6.0,6.0,6.0,6.0
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82,10,10.0,10.0,2019-03-19,2024-01-26 17:00:00,Ewallet,10.0,10.0,10.0,10.0
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91,7,7.0,7.0,2019-02-03,2024-01-26 10:00:00,Cash,7.0,7.0,7.0,7.0
162-48-8011,A,Yangon,Member,Female,Food and beverages,44,5,5.0,5.0,2019-02-10,2024-01-26 15:00:00,Cash,5.0,5.0,5.0,5.0
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17,4,4.0,4.0,2019-03-22,2024-01-26 14:00:00,Ewallet,4.0,4.0,4.0,4.0
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15,1,1.0,1.0,2019-01-25,2024-01-26 15:00:00,Credit card,1.0,1.0,1.0,1.0
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16,2,2.0,2.0,2019-03-07,2024-01-26 11:00:00,Ewallet,2.0,2.0,2.0,2.0
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85,8,8.0,8.0,2019-02-28,2024-01-26 19:00:00,Cash,8.0,8.0,8.0,8.0
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44,2,2.0,2.0,2019-03-27,2024-01-26 11:00:00,Cash,2.0,2.0,2.0,2.0
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89,8,8.0,8.0,2019-02-07,2024-01-26 11:00:00,Ewallet,8.0,8.0,8.0,8.0
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72,10,10.0,10.0,2019-01-20,2024-01-26 15:00:00,Cash,10.0,10.0,10.0,10.0
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30,6,6.0,6.0,2019-03-12,2024-01-26 20:00:00,Cash,6.0,6.0,6.0,6.0
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24,3,3.0,3.0,2019-02-15,2024-01-26 17:00:00,Credit card,3.0,3.0,3.0,3.0
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55,6,6.0,6.0,2019-02-24,2024-01-26 10:00:00,Ewallet,6.0,6.0,6.0,6.0
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55,9,9.0,9.0,2019-02-03,2024-01-26 13:00:00,Ewallet,9.0,9.0,9.0,9.0
199-75-8169,A,Yangon,Member,Male,Sports and travel,15,10,10.0,10.0,2019-03-06,2024-01-26 12:00:00,Credit card,10.0,10.0,10.0,10.0
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75,4,4.0,4.0,2019-02-14,2024-01-26 14:00:00,Cash,4.0,4.0,4.0,4.0
877-22-3308,A,Yangon,Member,Male,Health and beauty,15,10,10.0,10.0,2019-03-13,2024-01-26 16:00:00,Cash,10.0,10.0,10.0,10.0
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33,2,2.0,2.0,2019-02-10,2024-01-26 15:00:00,Ewallet,2.0,2.0,2.0,2.0
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97,6,6.0,6.0,2019-01-07,2024-01-26 15:00:00,Ewallet,6.0,6.0,6.0,6.0
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78,10,10.0,10.0,2019-01-24,2024-01-26 10:00:00,Cash,10.0,10.0,10.0,10.0
382-03-4532,A,Yangon,Member,Female,Health and beauty,18,1,1.0,1.0,2019-02-02,2024-01-26 18:00:00,Cash,1.0,1.0,1.0,1.0
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89,10,10.0,10.0,2019-01-06,2024-01-26 12:00:00,Credit card,10.0,10.0,10.0,10.0
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62,10,10.0,10.0,2019-02-11,2024-01-26 16:00:00,Cash,10.0,10.0,10.0,10.0
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48,3,3.0,3.0,2019-03-05,2024-01-26 18:00:00,Ewallet,3.0,3.0,3.0,3.0
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75,6,6.0,6.0,2019-03-09,2024-01-26 18:00:00,Cash,6.0,6.0,6.0,6.0
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74,9,9.0,9.0,2019-01-22,2024-01-26 10:00:00,Ewallet,9.0,9.0,9.0,9.0
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41,10,10.0,10.0,2019-01-13,2024-01-26 17:00:00,Credit card,10.0,10.0,10.0,10.0
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49,9,9.0,9.0,2019-01-09,2024-01-26 14:00:00,Credit card,9.0,9.0,9.0,9.0
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20,9,9.0,9.0,2019-01-12,2024-01-26 15:00:00,Credit card,9.0,9.0,9.0,9.0
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78,10,10.0,10.0,2019-03-05,2024-01-26 16:00:00,Ewallet,10.0,10.0,10.0,10.0
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20,5,5.0,5.0,2019-01-22,2024-01-26 18:00:00,Cash,5.0,5.0,5.0,5.0
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99,6,6.0,6.0,2019-01-21,2024-01-26 14:00:00,Credit card,6.0,6.0,6.0,6.0
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96,3,3.0,3.0,2019-01-26,2024-01-26 19:00:00,Ewallet,3.0,3.0,3.0,3.0
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19,8,8.0,8.0,2019-01-23,2024-01-26 18:00:00,Ewallet,8.0,8.0,8.0,8.0
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80,4,4.0,4.0,2019-02-23,2024-01-26 18:00:00,Credit card,4.0,4.0,4.0,4.0
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48,5,5.0,5.0,2019-03-09,2024-01-26 10:00:00,Cash,5.0,5.0,5.0,5.0
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83,7,7.0,7.0,2019-03-05,2024-01-26 14:00:00,Ewallet,7.0,7.0,7.0,7.0
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76,5,5.0,5.0,2019-03-25,2024-01-26 10:00:00,Cash,5.0,5.0,5.0,5.0
633-44-8566,A,Yangon,Member,Male,Food and beverages,49,7,7.0,7.0,2019-03-27,2024-01-26 20:00:00,Credit card,7.0,7.0,7.0,7.0
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42,1,1.0,1.0,2019-01-02,2024-01-26 16:00:00,Cash,1.0,1.0,1.0,1.0
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76,6,6.0,6.0,2019-02-27,2024-01-26 17:00:00,Cash,6.0,6.0,6.0,6.0
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47,4,4.0,4.0,2019-01-23,2024-01-26 10:00:00,Cash,4.0,4.0,4.0,4.0
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44,10,10.0,10.0,2019-01-26,2024-01-26 19:00:00,Ewallet,10.0,10.0,10.0,10.0
873-51-0671,A,Yangon,Member,Female,Sports and travel,21,7,7.0,7.0,2019-01-10,2024-01-26 16:00:00,Ewallet,7.0,7.0,7.0,7.0
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64,9,9.0,9.0,2019-03-12,2024-01-26 12:00:00,Credit card,9.0,9.0,9.0,9.0
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89,1,1.0,1.0,2019-02-06,2024-01-26 20:00:00,Credit card,1.0,1.0,1.0,1.0
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97,1,1.0,1.0,2019-03-08,2024-01-26 20:00:00,Ewallet,1.0,1.0,1.0,1.0
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87,10,10.0,10.0,2019-03-29,2024-01-26 10:00:00,Ewallet,10.0,10.0,10.0,10.0
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12,6,6.0,6.0,2019-02-09,2024-01-26 13:00:00,Cash,6.0,6.0,6.0,6.0
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52,3,3.0,3.0,2019-03-23,2024-01-26 10:00:00,Ewallet,3.0,3.0,3.0,3.0
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82,6,6.0,6.0,2019-03-05,2024-01-26 18:00:00,Cash,6.0,6.0,6.0,6.0
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48,1,1.0,1.0,2019-03-26,2024-01-26 19:00:00,Cash,1.0,1.0,1.0,1.0
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78,9,9.0,9.0,2019-03-01,2024-01-26 13:00:00,Cash,9.0,9.0,9.0,9.0
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23,9,9.0,9.0,2019-02-01,2024-01-26 11:00:00,Cash,9.0,9.0,9.0,9.0
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58,6,6.0,6.0,2019-03-28,2024-01-26 16:00:00,Cash,6.0,6.0,6.0,6.0
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30,7,7.0,7.0,2019-03-19,2024-01-26 18:00:00,Cash,7.0,7.0,7.0,7.0
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88,10,10.0,10.0,2019-01-12,2024-01-26 14:00:00,Ewallet,10.0,10.0,10.0,10.0
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27,6,6.0,6.0,2019-01-05,2024-01-26 20:00:00,Credit card,6.0,6.0,6.0,6.0
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62,6,6.0,6.0,2019-03-22,2024-01-26 20:00:00,Cash,6.0,6.0,6.0,6.0
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33,9,9.0,9.0,2019-03-24,2024-01-26 10:00:00,Cash,9.0,9.0,9.0,9.0
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81,10,10.0,10.0,2019-03-03,2024-01-26 14:00:00,Cash,10.0,10.0,10.0,10.0
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16,2,2.0,2.0,2019-02-05,2024-01-26 11:00:00,Ewallet,2.0,2.0,2.0,2.0
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98,3,3.0,3.0,2019-02-05,2024-01-26 10:00:00,Credit card,3.0,3.0,3.0,3.0
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72,7,7.0,7.0,2019-02-15,2024-01-26 12:00:00,Cash,7.0,7.0,7.0,7.0
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58,9,9.0,9.0,2019-01-19,2024-01-26 20:00:00,Ewallet,9.0,9.0,9.0,9.0
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80,9,9.0,9.0,2019-02-01,2024-01-26 20:00:00,Credit card,9.0,9.0,9.0,9.0
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27,3,3.0,3.0,2019-03-02,2024-01-26 13:00:00,Credit card,3.0,3.0,3.0,3.0
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21,5,5.0,5.0,2019-03-05,2024-01-26 12:00:00,Ewallet,5.0,5.0,5.0,5.0
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51,1,1.0,1.0,2019-01-16,2024-01-26 15:00:00,Ewallet,1.0,1.0,1.0,1.0
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10,10,10.0,10.0,2019-02-02,2024-01-26 20:00:00,Ewallet,10.0,10.0,10.0,10.0
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53,2,2.0,2.0,2019-01-20,2024-01-26 20:00:00,Ewallet,2.0,2.0,2.0,2.0
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99,8,8.0,8.0,2019-02-14,2024-01-26 17:00:00,Credit card,8.0,8.0,8.0,8.0
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57,7,7.0,7.0,2019-01-12,2024-01-26 12:00:00,Credit card,7.0,7.0,7.0,7.0
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99,9,9.0,9.0,2019-03-09,2024-01-26 17:00:00,Credit card,9.0,9.0,9.0,9.0
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63,8,8.0,8.0,2019-03-13,2024-01-26 19:00:00,Credit card,8.0,8.0,8.0,8.0
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56,8,8.0,8.0,2019-03-09,2024-01-26 14:00:00,Ewallet,8.0,8.0,8.0,8.0
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93,7,7.0,7.0,2019-03-10,2024-01-26 18:00:00,Credit card,7.0,7.0,7.0,7.0
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32,5,5.0,5.0,2019-01-27,2024-01-26 13:00:00,Cash,5.0,5.0,5.0,5.0
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31,9,9.0,9.0,2019-01-08,2024-01-26 16:00:00,Credit card,9.0,9.0,9.0,9.0
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68,8,8.0,8.0,2019-01-08,2024-01-26 15:00:00,Ewallet,8.0,8.0,8.0,8.0
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90,9,9.0,9.0,2019-02-08,2024-01-26 11:00:00,Ewallet,9.0,9.0,9.0,9.0
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39,7,7.0,7.0,2019-01-25,2024-01-26 13:00:00,Cash,7.0,7.0,7.0,7.0
802-70-5316,A,Yangon,Member,Female,Sports and travel,92,6,6.0,6.0,2019-03-06,2024-01-26 20:00:00,Cash,6.0,6.0,6.0,6.0
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34,4,4.0,4.0,2019-02-10,2024-01-26 18:00:00,Cash,4.0,4.0,4.0,4.0
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87,6,6.0,6.0,2019-02-17,2024-01-26 14:00:00,Credit card,6.0,6.0,6.0,6.0
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81,6,6.0,6.0,2019-03-08,2024-01-26 16:00:00,Ewallet,6.0,6.0,6.0,6.0
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90,3,3.0,3.0,2019-02-18,2024-01-26 19:00:00,Cash,3.0,3.0,3.0,3.0
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26,5,5.0,5.0,2019-01-18,2024-01-26 20:00:00,Credit card,5.0,5.0,5.0,5.0
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34,6,6.0,6.0,2019-02-18,2024-01-26 15:00:00,Cash,6.0,6.0,6.0,6.0
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51,10,10.0,10.0,2019-02-16,2024-01-26 12:00:00,Cash,10.0,10.0,10.0,10.0
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72,8,8.0,8.0,2019-03-16,2024-01-26 19:00:00,Ewallet,8.0,8.0,8.0,8.0
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89,10,10.0,10.0,2019-01-23,2024-01-26 13:00:00,Credit card,10.0,10.0,10.0,10.0
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90,10,10.0,10.0,2019-01-25,2024-01-26 13:00:00,Cash,10.0,10.0,10.0,10.0
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68,10,10.0,10.0,2019-02-05,2024-01-26 19:00:00,Cash,10.0,10.0,10.0,10.0
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30,1,1.0,1.0,2019-02-22,2024-01-26 10:00:00,Credit card,1.0,1.0,1.0,1.0
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77,6,6.0,6.0,2019-01-21,2024-01-26 16:00:00,Ewallet,6.0,6.0,6.0,6.0
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46,6,6.0,6.0,2019-03-08,2024-01-26 17:00:00,Credit card,6.0,6.0,6.0,6.0
685-64-1609,A,Yangon,Member,Female,Fashion accessories,30,10,10.0,10.0,2019-02-10,2024-01-26 12:00:00,Ewallet,10.0,10.0,10.0,10.0
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66,4,4.0,4.0,2019-03-19,2024-01-26 12:00:00,Credit card,4.0,4.0,4.0,4.0
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71,8,8.0,8.0,2019-03-06,2024-01-26 15:00:00,Credit card,8.0,8.0,8.0,8.0
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32,8,8.0,8.0,2019-03-27,2024-01-26 13:00:00,Credit card,8.0,8.0,8.0,8.0
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91,4,4.0,4.0,2019-03-23,2024-01-26 19:00:00,Credit card,4.0,4.0,4.0,4.0
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34,7,7.0,7.0,2019-03-11,2024-01-26 16:00:00,Credit card,7.0,7.0,7.0,7.0
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83,9,9.0,9.0,2019-01-29,2024-01-26 11:00:00,Credit card,9.0,9.0,9.0,9.0
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16,6,6.0,6.0,2019-02-07,2024-01-26 18:00:00,Ewallet,6.0,6.0,6.0,6.0
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80,8,8.0,8.0,2019-01-28,2024-01-26 13:00:00,Cash,8.0,8.0,8.0,8.0
782-95-9291,A,Yangon,Member,Male,Food and beverages,92,5,5.0,5.0,2019-02-20,2024-01-26 15:00:00,Credit card,5.0,5.0,5.0,5.0
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72,1,1.0,1.0,2019-01-04,2024-01-26 19:00:00,Cash,1.0,1.0,1.0,1.0
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50,5,5.0,5.0,2019-03-07,2024-01-26 13:00:00,Ewallet,5.0,5.0,5.0,5.0
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97,9,9.0,9.0,2019-03-30,2024-01-26 14:00:00,Ewallet,9.0,9.0,9.0,9.0
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93,6,6.0,6.0,2019-03-27,2024-01-26 19:00:00,Ewallet,6.0,6.0,6.0,6.0
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43,8,8.0,8.0,2019-01-19,2024-01-26 19:00:00,Credit card,8.0,8.0,8.0,8.0
275-28-0149,A,Yangon,Normal,Male,Sports and travel,63,1,1.0,1.0,2019-02-25,2024-01-26 16:00:00,Cash,1.0,1.0,1.0,1.0
101-17-6199,A,Yangon,Normal,Male,Food and beverages,45,7,7.0,7.0,2019-03-13,2024-01-26 19:00:00,Credit card,7.0,7.0,7.0,7.0
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76,2,2.0,2.0,2019-01-30,2024-01-26 19:00:00,Ewallet,2.0,2.0,2.0,2.0
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39,10,10.0,10.0,2019-02-20,2024-01-26 15:00:00,Credit card,10.0,10.0,10.0,10.0
505-02-0892,B,Mandalay,Member,Male,Health and beauty,42,8,8.0,8.0,2019-02-25,2024-01-26 14:00:00,Ewallet,8.0,8.0,8.0,8.0
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95,10,10.0,10.0,2019-01-16,2024-01-26 13:00:00,Cash,10.0,10.0,10.0,10.0
